BusinessShortNumber,BusinessNumber,IdBill,einigungskonferenz,einigungskonferenz_ang,LegislativePeriodNumber,rounds,diff,DepartmentAbbreviation,DepartmentName,year,pol_diff,lsq,party_pol
09.067,20090067,531a3bbd-02e7-4250-ba7f-7ddf3c770df1,0,NA,49,6,4,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.067,20090067,d1a7e864-91bc-4dc1-b91a-e28210a9c774,0,NA,49,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.068,20090068,33bfd913-9985-4cee-bcc1-64e7814fc915,0,NA,48,4,2,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.069,20090069,ba89d6da-3468-4eb5-b74b-898a727483a4,1,1,48,8,5,EVD,Volkswirtschaftsdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.070,20090070,a029e374-333c-4624-89aa-535359f04a22,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.071,20090071,39d23987-f2cf-4aff-8e67-c770fdd1ceff,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.071,20090071,39d3e389-cb60-4de0-913b-19b477064ea6,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.072,20090072,5b0c5fbd-1385-4e99-895e-94bb2ffcbcdc,0,NA,48,2,0,EVD,Volkswirtschaftsdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.073,20090073,64f2feb4-0adf-4dc3-a3a5-3c08da7d1809,0,NA,48,3,1,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.074,20090074,098e7b70-14c1-405b-a2f4-2a8fa9770574,1,0,48,7,6,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.074,20090074,e2849151-3928-401f-aca6-5a40fda1595b,1,0,48,7,6,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.075,20090075,7164a201-9711-472d-84cb-fb1c3b110faf,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.077,20090077,480ba949-4119-4e90-a936-d6944cd3933d,0,NA,48,3,1,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.077,20090077,ca2aa030-d176-4494-ab84-cf01ce47202c,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.079,20090079,992f715b-5962-4762-b755-fa910b14a208,0,NA,48,4,2,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.080,20090080,99635cea-4097-4f8e-871a-ada134cda936,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.081,20090081,419f49a7-d789-48c6-a6fa-feb5de2130d4,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.082,20090082,3ae675ec-0fed-46d6-9636-9bd188f9afb7,0,NA,48,2,0,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.082,20090082,df5c3ddc-7586-4ba8-9c34-9a1b0dfd10c3,1,1,48,8,5,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.083,20090083,f673c056-02b9-4cca-9d6b-526dc342a23d,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.084,20090084,3df55dac-7be2-4aaf-a18c-149d760f2797,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.085,20090085,918a2bd1-15c9-4fd2-a07d-cdd1ea543514,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.085,20090085,d412a85e-8c25-4609-b94b-108deec17b7f,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.086,20090086,dba1a2e7-8ebe-44c6-bdc4-2658eb825cc2,0,NA,49,4,2,EJPD,Justiz- und Polizeidepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.086,20090086,e73936a9-8a5c-4a8e-a81c-997b286bddfc,0,NA,49,5,3,EJPD,Justiz- und Polizeidepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.087,20090087,0805ee38-8a97-407c-aa8b-97705b1994be,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.087,20090087,4e3f3461-b012-4932-9a9c-bae3fd578e0f,0,NA,48,4,2,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.089,20090089,908985cf-510c-419c-a9c7-e02c6cf28366,0,NA,48,6,4,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.090,20090090,d792d0f2-4dc7-4a40-b30f-f9d6434bc2dc,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.091,20090091,3e96532b-1928-493f-9026-46613b2fe10c,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.092,20090092,dd858ef2-8266-41b5-9351-cb4e4e41b89d,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.093,20090093,746ac574-5114-4a4c-a029-1828c4925c77,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.094,20090094,1b688e32-12fe-44ee-bed2-060d3340e8a9,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.095,20090095,965ac595-5a34-4264-92e0-9ea10114257c,0,NA,49,4,2,EDI,Departement des Innern,2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.095,20090095,cd4e84d7-f519-424f-8253-86217d8f5dbc,0,NA,49,4,2,EDI,Departement des Innern,2011,0.192964824120603,0.1709247800851348,2.833333333333333
09.096,20090096,f1649c58-2d7a-46d6-a6e2-fbdb92e92b20,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.097,20090097,95a6689b-06ba-40c8-a490-b1298b829087,0,NA,48,2,0,EVD,Volkswirtschaftsdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
09.098,20090098,8529dd19-f8f2-4fa3-888c-bf04d89ad273,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.001,20100001,360bef9f-08dc-4ef6-b033-8ff68213294a,0,NA,48,2,0,BK,Bundeskanzlei,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.002,20100002,551bf903-b93d-40eb-88bf-5a1aa9066eb7,0,NA,48,2,0,BGer,Bundesgericht,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.003,20100003,32f0b2ab-da5b-4ede-b8c0-6609e882a0d5,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.003,20100003,7a2de576-41ea-45bf-981d-9b99c0ebd29c,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.003,20100003,ab1443e9-eda7-408f-8e54-7dbbeefd64ca,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.003,20100003,ac25fd4f-bfb1-444f-9337-aaf0a2de0248,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.003,20100003,b19ae646-1c81-4c96-a2a0-4174bd853b20,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
